구분,지정번호,명     칭,수  량,"구,군",소 재 지,지정일자(인정일자)
유형문화재,14,동화사염불암마애여래좌상및보살좌상,2좌,동구,동구 동화사 1길 1(도학동),1988-05-30
유형문화재,15,북지장사석조지장보살좌상,1구,동구,동구 도장길 243(도학동),1988-05-30
유형문화재,16,부인사석등,1기,동구,동구 팔공산로 967-28(신무동),1988-05-30
유형문화재,17,부인사서탑,1기,동구,동구 팔공산로 967-28(신무동),1988-05-30
유형문화재,18,신무동마애불좌상,1좌,동구,동구 신무동 235-7번지,1988-05-30
유형문화재,19,동화사염불암청석탑,1기,동구,동구 도학동 산124-1번지,1988-05-30
유형문화재,20,팔공산동봉석조약사여래입상,1구,동구,동구 용수동 산1-3번지,1988-05-30
유형문화재,21,신무동삼성암지마애약사여래입상,1구,동구,동구 신무동 산16번지,1988-05-30
유형문화재,22,송정동석불입상,1구,동구,동구 송정동 363번지,1988-05-30
유형문화재,23,이공제비및군수이후범선영세불망비,3기,수성구,수성구 신천동로 117(상동),1988-05-30
유형문화재,24,선교사스윗즈주택,1동,중구,중구 달구벌대로 2029(동산동),1989-06-15
유형문화재,25,선교사챔니스주택,1동,중구,중구 달구벌대로 2029(동산동),1989-06-15
유형문화재,26,선교사블레어주택,1동,중구,중구 달구벌대로 2029(동산동),1989-06-15
유형문화재,28,부인사부도,1기,동구,동구 신무동 356번지,1990-05-15
유형문화재,29,성모당,1동,중구,중구 남산로4길 112(남산동),1990-12-15
유형문화재,30,대구제일교회,1동,중구,중구 남성로23(남성로),1992-01-07
유형문화재,32,도곡재,1동,달성군,달성군 하빈면 육신사길62 (묘리),1995-05-12
유형문화재,33,효종어전희우시회인물도,1폭,달성군,수성구 청호로321(황금동) 국립대구박물관,1995-05-12
유형문화재,34,남지장사 청련암,1동,달성군,달성군 가창면 남지장사길 127 (우록리),1995-05-12
유형문화재,35,달성 용봉동 석불입상,1구,달성군,달성군 유가면 용리 산1,1995-05-12
유형문화재,37,명심보감판본,31매,달성군,달성군 화원읍 인흥2길 26(본리리),1995-05-12
유형문화재,38,이철견신도비,1기(400㎡),달성군,달성군 옥포면 교항리 2963,1995-05-12
유형문화재,39,망우당선생문집책판(부)창의록책판,2종140판,달성군,달성군 유가면 구례길 123 (가태리),1995-05-12
유형문화재,40,존재선생실기책판,61판,달성군,달성군 유가면 구례길 123 (가태리),1995-05-12
유형문화재,41,용연사극락전,1동,달성군,달성군 옥포면 용연사길 260,1995-05-12
유형문화재,42,대견사지삼층석탑,"1기(16,530㎡)",달성군,달성군 유가면 용리 산1번지,1995-05-12
유형문화재,43,샬트르성바오로수녀원성당,1동,중구,중구 남산로4길 111(남산동),2003-04-30
유형문화재,44,남산초등학교강당,1동(396.7㎡),중구,중구 남산로70(남산동),2003-04-30
유형문화재,45,계성학교아담스관,1동,중구,중구 달성로35(대신동),2003-04-30
유형문화재,46,계성학교맥퍼슨관,1동,중구,중구 달성로35(대신동),2003-04-30
유형문화재,47,계성학교핸더슨관,1동,중구,중구 달성로35(대신동),2003-04-30
유형문화재,48,구대구상업학교본관,1동,중구,중구 대봉로260(대봉동),2003-04-30
유형문화재,49,한국산업은행대구지점,1동,중구,중구 경상감영길67(포정동),2003-04-30
유형문화재,50,유가사석조여래좌상,1구,달성군,달성군 유가면 유가사길 161(양리),2003-04-30
유형문화재,51,옻골경주최씨백불암파종가소장전적,일괄(2종664점),동구,동구 옻골로 195-5(둔산동),2003-04-30
유형문화재,54,대암선생문집책판,120판,달성군,달성군 구지면 창리서로2길 9-51,2007-04-10
유형문화재,55,대구읍지,1책,달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2010-01-20
유형문화재,56,대구 동화사 제석도,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,57,대구 동화사 천룡도,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,58,대구 동화사 염불암 극락구품도,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,59,대구 동화사 칠성도,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,60,대구 동화사 지장삼존도,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,61,대구 동화사 인악당대사 의첨 진영,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,62,대구 동화사 대웅전 석가영산회상도,1폭,동구,동구 동화사 1길 1(도학동),2012-01-30
유형문화재,63,대구 동대사 고려불경 일괄,4축,수성구,수성구 달구벌대로 541길 85-13,2012-01-30
유형문화재,64,금보,1책,중구,중구 동덕로,2012-01-30
유형문화재,65,윤희손초상,1폭,중구,중구 동덕로,2012-01-30
유형문화재,66,태을산분정아국주군분야도,1첩,중구,중구 공평로10길 25,2013-10-30
유형문화재,67,천태사교의집해,1책,수성구,수성구 국채보상로 207길,2013-10-30
유형문화재,68,신간삼략언해,1책,북구,북구 망월길,2013-10-30
유형문화재,69,천자문,1책,남구,남구 효성로,2013-10-30
유형문화재,70,허암유고,3권1책,달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2013-10-30
유형문화재,71,대구 안일사 목조석가여래좌상,1구,남구,남구 앞산순환로440(대명동),2015-05-11
유형문화재,72,대구 은적사 목조석가여래좌상,1구,남구,남구 앞산순환로574-120(봉덕동),2015-05-11
유형문화재,73,대구 파계사 원통전 수미단,1기,동구,동구 파계로741(중대동),2015-05-11
유형문화재,74,대구 파계사 왕실 원당 관련 고문서 일괄,10종10점,동구,동구 파계로741(중대동),2015-05-11
유형문화재,75,대구 금성사 육경합부,1책(97장),달성군,달성군 옥포면 옥계길16,2015-05-11
유형문화재,76,대구 서봉사 목조지장보살삼존상 및 시왕상 일괄,29구,남구,남구 명덕로54길 31(이천동),2016-03-10
유형문화재,77,대구 보성선원 목조석가여래 삼존좌상 복장불서,55종 550점,달서구,달서구 송현로8안길 35(송현동),2016-03-10
유형문화재,78,감지금은니문수최상승무생계법(묘덕계첩),1첩,수성구,수성구 청호로321(황금동) 국립대구박물관,2016-03-10
유형문화재,79,삼국사기,6책,달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2017-01-31
유형문화재,80,북정록,1책,달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2017-01-31
유형문화재,81,이수충가 소장 전적,4종 21점,남구,남구 효성중앙길,2017-01-31
유형문화재,82,묘법연화경 권4~7,4권 1책,수성구,수성구 달구벌대로 527길,2018-02-12
유형문화재,83,입학도설,1책,수성구,수성구 파동로,2019-01-30
유형문화재,84,삼경합부,1책,달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2019-01-30
유형문화재,85,천사일로일기,1책(55장),달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2019-01-30
유형문화재,86,사조선록 상,1책(영본),달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2019-01-30
유형문화재,87,소수서원 관련 고문서,3종 6책(영본),달서구,달서구 달구벌대로1095 계명대학교 동산도서관,2019-01-30
유형문화재,88,대구 남지장사 석조지장보살좌상,1구,달성군,달성군 가창면 남지장사길 95,2019-01-30
유형문화재,89,대구 남지장사 석조석가여래삼존좌상,3구,달성군,달성군 가창면 남지장사길 95,2019-01-30
